Job Title,Company,Company Type,Job Description
Frontend Developer,Infosys,Service,"Develop and maintain web portals for banking and insurance clients. Skills: Angular or React, HTML5, CSS3, JavaScript, and REST API integration. Experience in responsive design, cross-browser compatibility, and working within client design guidelines. Basic knowledge of Java Spring Boot backend a plus."
System Architect,Netflix,Product,"Lead architecture for high-availability, low-latency financial systems. Required: Expertise in distributed systems, fault tolerance, and database design at scale. Experience with CQRS, event sourcing, and domain-driven design. Must have track record of delivering complex systems and influencing org-wide technical decisions."
Data Analyst,Meta,Product,"Analyze product and user behavior data to drive growth decisions. Required: SQL (BigQuery or Redshift), Python, and experience with dashboarding tools like Looker or Tableau. Strong understanding of funnel analysis, retention metrics, and experimentation. Ability to self-serve data and communicate insights to non-technical stakeholders."
AI Researcher,Goldman Sachs,Product,"Research and develop novel approaches to alignment, interpretability, and safe AI systems. Required: Strong ML background, experience with LLM training and evaluation, and interest in AI safety. Familiarity with RLHF, Constitutional AI, or mechanistic interpretability research a strong plus."
Database Engineer,Amazon,Product,"Own database reliability, performance, and scalability for core platform services. Skills: PostgreSQL, Redis, Elasticsearch, and experience with database migration and schema evolution. Familiarity with connection pooling (PgBouncer), observability, and automated failover. Python or Go scripting for automation."
Software Engineer,Capgemini,Service,"Develop and maintain enterprise software solutions for banking and insurance clients. Skills required: Java, Spring Boot, Hibernate, Oracle SQL. Experience in Agile/Scrum, requirement gathering, and client communication. Knowledge of SDLC, code documentation, and testing frameworks like JUnit. TOGAF or ITIL certification is a plus."
UI/UX Designer,Wipro,Service,"Design dashboards and enterprise portals for logistics and banking clients. Skills: Figma, wireframing, and responsive design. Experience working within existing design systems and delivering pixel-perfect mockups. Understanding of accessibility and usability principles expected."
System Architect,HCL Technologies,Service,"Lead solution architecture for digital transformation projects at enterprise clients. Required: TOGAF certification, experience with cloud migration (Azure/AWS), and strong client-facing skills. Ability to create architecture blueprints, manage stakeholder expectations, and oversee delivery teams."
Software Engineer,Tech Mahindra,Service,"Work on IT modernization projects for government and telecom clients. Required skills: Python or .NET, REST APIs, Azure or AWS, and SQL Server. Candidates should be comfortable working in client-facing environments and handling change requests in large enterprise codebases."
Cloud Engineer,Microsoft,Product,"Build and manage multi-region cloud infrastructure for high-availability services. Required: AWS or GCP (EC2, EKS, RDS, S3, Lambda), Terraform, and Python. Experience with network design (VPC, load balancers, CDN), security hardening, and FinOps. Strong automation mindset."
Data Scientist,Atlassian,Product,"Drive product decisions through advanced analytics and experimentation. Requires expertise in Python (pandas, numpy, scikit-learn), SQL, and statistical modeling. Strong experience with A/B testing, causal inference, and Bayesian methods. Must be able to communicate complex findings clearly to PMs and executives. Experience with Spark and Tableau is a plus."
Data Analyst,Accenture,Service,"Deliver data analytics and reporting solutions for retail and logistics clients. Skills: SQL, Python, Excel, and Power BI or Tableau. Experience with ETL pipelines, data cleaning, and business reporting. Ability to gather client requirements and deliver dashboards on tight timelines."
Frontend Developer,Amazon,Product,"Own the frontend architecture of a fast-growing SaaS product. Required: Vue.js or React, Tailwind CSS, REST and WebSocket APIs. Experience with micro-frontend architecture, monorepos (Nx/Turborepo), and CI/CD. Strong code review and mentoring skills."
System Architect,Microsoft,Product,"Architect AI/ML infrastructure and data platforms. Skills: Deep understanding of data architecture (lakehouse, Lambda/Kappa), ML platforms, and real-time processing (Flink/Spark Streaming). Experience with architectural governance, cloud cost optimization, and leading cross-functional technical planning."
DevOps Engineer,Amazon,Product,"Manage and scale cloud infrastructure supporting millions of users. Required: Kubernetes, Terraform, AWS or GCP, and strong scripting skills (Python/Bash). Experience with service mesh (Istio), observability (Prometheus, Grafana, Datadog), and incident management. SRE mindset with focus on reliability, latency, and cost optimization."
Frontend Developer,Infosys,Service,"Build enterprise intranet and HR portals for large clients. Required: React or Angular, Bootstrap or Material UI, and REST APIs. Familiarity with SharePoint or SAP Fiori is a bonus. Good documentation and client communication skills expected."
Software Engineer,LinkedIn,Product,"Design and develop large-scale distributed systems handling millions of requests per day. Strong proficiency in Python, Java, or Go required. Deep understanding of data structures, algorithms, and system design. Experience with microservices architecture, REST and gRPC APIs, Kubernetes, and cloud platforms (AWS/GCP/Azure). Must have strong CS fundamentals, experience with code reviews, and ability to work in fast-paced agile teams. LeetCode-style problem solving ability expected."
Database Engineer,LinkedIn,Product,"Build data infrastructure for real-time analytics and OLAP workloads. Required: ClickHouse, Snowflake, or BigQuery expertise, along with dbt and Airflow. Experience with columnar storage, partitioning, and optimizing analytical query performance."
UI/UX Designer,Twitter/X,Product,"Design intuitive, delightful experiences for consumer products used by millions. Required: Figma, design systems expertise, and a strong portfolio demonstrating user-centered design. Experience with user research, usability testing, journey mapping, and prototyping. Ability to collaborate tightly with engineers and PMs and defend design decisions with data."
Cloud Engineer,Capgemini,Service,"Deliver cloud infrastructure projects for manufacturing and retail clients. Skills: Azure (AKS, Azure SQL, App Service), ARM templates or Bicep, and monitoring with Azure Monitor. Experience writing technical proposals and client documentation."
UI/UX Designer,LTIMindtree,Service,"Create UI designs and wireframes for client-facing web and mobile applications. Required: Figma or Adobe XD, strong visual design skills, and experience following client brand guidelines. Ability to present designs to clients, incorporate feedback, and hand off specs to development teams."
Data Analyst,Uber,Product,"Build and maintain analytical models for financial reporting. Required: Advanced SQL, dbt, and Python. Experience with data modeling, dimensional schemas, and working closely with data engineers. Familiarity with Monte Carlo or Great Expectations for data quality."
UI/UX Designer,Stripe,Product,"Lead end-to-end design for mobile and web products. Skills: Figma, Principle or ProtoPie, and experience with WCAG accessibility standards. Must be able to run design sprints, conduct A/B tests, and iterate based on quantitative and qualitative data. Motion design experience is a plus."
System Architect,Apple,Product,"Define and evolve the technical architecture for large-scale distributed platforms. Requires 8+ years of software engineering experience with deep expertise in microservices, event-driven architecture (Kafka), and cloud-native design (AWS/GCP). Must be able to lead architecture reviews, define engineering standards, and mentor senior engineers. Strong communication skills to align technical strategy with business goals."
Data Scientist,LinkedIn,Product,"Analyze petabyte-scale behavioral data to surface growth opportunities. Required: SQL (BigQuery/Redshift), Python, and data visualization (Looker, Matplotlib). Experience with cohort analysis, funnel optimization, and user segmentation. Strong cross-functional communication skills."
AI Researcher,LinkedIn,Product,"Conduct original research in deep learning, NLP, or computer vision to advance state-of-the-art capabilities. PhD in CS, ML, or related field preferred. Strong publication record at NeurIPS, ICML, ICLR, or ACL. Proficiency in PyTorch, strong mathematical foundation (linear algebra, probability, optimization). Must be able to move research to production in collaboration with engineering teams."
Database Engineer,Netflix,Product,"Design and optimize globally distributed database systems at massive scale. Required: Deep expertise in PostgreSQL or MySQL internals, query optimization, and indexing strategies. Experience with distributed databases (Cassandra, CockroachDB, Spanner), replication, and sharding. Strong understanding of ACID properties, CAP theorem, and storage engine internals."
AI Researcher,Tech Mahindra,Service,"Apply ML research techniques to solve practical business problems for clients in finance and healthcare. Skills: Python, PyTorch or TensorFlow, and experience translating research papers into production solutions. Ability to write technical reports and present to clients. Master's degree in ML or related field preferred."
DevOps Engineer,Google,Product,"Own cloud cost optimization and capacity planning for large-scale services. Required: AWS (EKS, RDS, S3, Lambda), Terraform, and Python. Experience with auto-scaling, spot instances, and FinOps practices. Strong cross-team collaboration to drive reliability and efficiency."
Cloud Engineer,JP Morgan,Product,"Design serverless and containerized architectures for microservices. Skills: AWS Lambda, API Gateway, DynamoDB, and Docker/Kubernetes. Experience with event-driven architectures, infrastructure as code, and cloud security best practices."
Data Scientist,HCL Technologies,Service,"Support data analytics engagements for FMCG and retail clients. Required skills: Python, R, Excel, SQL, and Tableau. Experience with market basket analysis, sales forecasting, and KPI dashboards. Ability to manage client stakeholders and present insights in business language."
Database Engineer,Cognizant,Service,"Design and implement database solutions for ERP and CRM implementations. Skills: MySQL or PostgreSQL, stored procedures, indexing, and ETL (SSIS or Informatica). Experience working with SAP or Salesforce data models is a strong plus."
Backend Developer,Amazon,Product,"Develop payment and transaction processing systems. Skills: Java or Kotlin, Spring Boot, SQL, and experience with financial data integrity and idempotency. Knowledge of PCI DSS compliance, distributed transactions, and high-throughput system design."
Software Engineer,Google,Product,"Full-stack software engineering role focused on building consumer-facing features at scale. Proficiency in React, TypeScript, Node.js, and Python. Experience with GraphQL, A/B testing, and feature flagging systems. Must understand performance budgets, accessibility standards, and web security best practices."
UI/UX Designer,Airbnb,Product,"Own the design language and component library for a SaaS platform. Required: Figma, Storybook integration with React, and experience with atomic design principles. Ability to create both high-fidelity mockups and developer-ready specifications. Cross-functional collaboration skills essential."
AI Researcher,Apple,Product,"Push the frontier of multimodal learning and generative AI. Skills: PyTorch, diffusion models, vision-language models, and experience with large-scale training runs. Must thrive in a research environment, propose and execute experiments independently, and communicate findings clearly."
Machine Learning Engineer,LinkedIn,Product,"Build and deploy production ML systems at scale. Requires deep expertise in Python, TensorFlow or PyTorch, and MLOps tools like MLflow and Kubeflow. Experience with feature stores, model monitoring, and A/B testing ML models in production. Familiarity with distributed training, ONNX, and model compression techniques. Strong software engineering fundamentals required."
DevOps Engineer,Accenture,Service,"Manage IT infrastructure and deployments for banking and government clients. Required: Linux administration, shell scripting, Ansible, and VMware. Experience with ITIL processes, change management, and DR/BCP planning. RHCE or AWS certification preferred."
System Architect,Accenture,Service,"Define IT architecture standards for large government and banking clients. Skills: Enterprise architecture frameworks, API gateway design, SOA/microservices, and hybrid cloud architecture. Experience with security architecture, compliance (ISO 27001, GDPR), and vendor management."
Data Analyst,HCL Technologies,Service,"Provide MIS reporting and analytics support for banking clients. Required: SQL Server, Excel (advanced), and Power BI. Experience with financial data, reconciliation reports, and automating recurring reports using Python. Good communication and documentation skills."
Machine Learning Engineer,Goldman Sachs,Product,"Design recommendation systems and ranking algorithms serving hundreds of millions of users. Skills: PyTorch, Spark, Flink, and large-scale data pipelines. Experience with embedding models, collaborative filtering, and real-time inference systems. Must understand model fairness and bias mitigation."
Backend Developer,Apple,Product,"Build robust, scalable APIs and backend services powering consumer products. Required: Python (FastAPI/Django) or Go, PostgreSQL, Redis, and REST/GraphQL API design. Experience with authentication (OAuth2, JWT), rate limiting, and writing clean, well-tested code. Familiarity with Kafka or RabbitMQ for async processing."
Machine Learning Engineer,Capgemini,Service,"Implement ML solutions for retail and logistics clients. Skills: Python, scikit-learn, pandas, and SQL. Experience building demand forecasting and churn prediction models. Must be able to explain model outputs to non-technical stakeholders and write detailed documentation."
Data Scientist,Infosys,Service,"Deliver data science solutions for healthcare and pharma clients. Skills: Python, SAS or SPSS, SQL, and Power BI. Experience with clinical data, survival analysis, and regulatory-compliant ML models. Knowledge of HL7 or FHIR standards is a bonus."
AI Engineer,Goldman Sachs,Product,"Build AI-powered product features using LLMs, RAG pipelines, and vector databases. Strong Python skills, experience with LangChain or LlamaIndex, and OpenAI/Anthropic APIs. Must have hands-on experience with FAISS or Pinecone, prompt engineering, and evaluation frameworks for LLM outputs. Background in NLP strongly preferred."
AI Engineer,JP Morgan,Product,"Design multimodal AI systems integrating vision and language models. Skills: Python, PyTorch, CLIP, Stable Diffusion, and REST API development. Experience with model evaluation benchmarks, safety filtering, and deploying AI services at scale on Kubernetes."
Database Engineer,IBM,Service,"Manage and optimize Oracle and SQL Server databases for large enterprise clients. Required: SQL, PL/SQL, performance tuning, and backup/recovery. Experience with database migrations, capacity planning, and working under SLA constraints. OCP or MCDBA certification preferred."
Software Engineer,Stripe,Product,"Build and maintain core platform infrastructure and developer tools. Requires expertise in C++ or Java, low-latency system design, and distributed computing. Familiarity with Kafka, Redis, and PostgreSQL. Experience with CI/CD pipelines, Docker, and Terraform. Strong debugging, performance optimization, and cross-functional collaboration skills expected."
Machine Learning Engineer,Apple,Product,"Develop computer vision and NLP pipelines for core product features. Required: Python, Hugging Face Transformers, OpenCV, and experience fine-tuning LLMs. Familiar with GPU cluster management, CUDA optimization, and serving frameworks like Triton or TorchServe."
Data Analyst,Google,Product,"Support business intelligence and reporting for marketing and growth teams. Skills: SQL, Excel, Tableau or Power BI, and basic Python (pandas). Experience with campaign attribution, customer segmentation, and KPI tracking. Comfortable working with large datasets and presenting findings to senior leadership."
