Job Title,Seniority Level,Company,Company Type,Experience Required,Location,Job Description
Data Engineer,Mid,Capgemini,Service,2-5 years,Delhi NCR,"Analytics Engineer (dbt specialist). Required: dbt (Core or Cloud), SQL, Snowflake or BigQuery, and Python. Must design modular, well-documented dbt models, implement data testing, and manage the semantic layer. Experience with data observability tools (Monte Carlo, Elementary) and working closely with analysts."
Software Engineer,Mid,Accenture,Service,8+ years,Hyderabad,"Backend Java Engineer for enterprise financial systems. Required: Java 17+, Spring Boot, Hibernate, Apache Kafka, and PostgreSQL. Must design RESTful microservices, implement event-driven patterns, and ensure high transaction throughput. Experience with JVM performance tuning, Spring Security, and containerization with Docker and Kubernetes."
Mobile Developer,Mid,OpenAI,Product,2-5 years,Hyderabad,"iOS Engineer. Required: Swift, SwiftUI, UIKit, and experience publishing apps to the App Store. Must implement MVVM or TCA architecture patterns, integrate REST APIs, and optimize app performance. Experience with Core Data, Push Notifications, and App Store Connect. Familiarity with Swift Concurrency (async/await) required."
QA Engineer,Mid,Robinhood,Product,5-8 years,Pune,"Software Development Engineer in Test (SDET). Required: Python or Java, Selenium or Playwright for UI automation, and REST API testing (Postman, RestAssured). Experience with CI/CD integration, performance testing (JMeter or k6), and test reporting frameworks. Must define test strategies, write reusable test frameworks, and champion quality culture."
Full Stack Developer,Mid,Lyft,Product,5-8 years,Bangalore,"Full Stack TypeScript Developer (Node.js + React). Required: TypeScript, Next.js, Node.js, PostgreSQL, and Prisma. Experience with tRPC or GraphQL, Zod for schema validation, and Turborepo for monorepo management. Must be comfortable with both frontend and backend development and deploy on Vercel or AWS."
Systems Engineer,Mid,KPIT Technologies,Service,2-5 years,San Francisco,"Rust Engineer for WebAssembly and edge computing. Required: Rust, WASM, and experience deploying to edge runtimes (Cloudflare Workers, Fastly Compute). Must optimize binary size and startup time, work with WASI interfaces, and build portable, sandboxed applications."
Software Engineer,Mid,JP Morgan,Product,8+ years,Bangalore,"Python is the primary language for this role. Must have deep expertise in Python 3.x, async programming (asyncio, aiohttp), type hints, and modern Python packaging. Experience with FastAPI or Django REST Framework, SQLAlchemy, Celery for background tasks, and pytest for testing. Must follow clean code principles, write well-documented APIs, and participate in architecture design."
Cybersecurity Engineer,Mid,Mastech Digital,Service,0-2 years,New York,"Application Security Engineer. Required: SAST/DAST tools (Checkmarx, Burp Suite), Python, and experience with secure SDLC practices. Must conduct code reviews for security vulnerabilities, perform penetration testing on web APIs, and train developers on OWASP Top 10. Bug bounty program experience is valued."
Cybersecurity Engineer,Mid,Lyft,Product,5-8 years,Chennai,"Cloud Security Engineer. Required: AWS/Azure security services, Terraform, and experience with CSPM tools (Prisma Cloud, Wiz). Must implement zero-trust network architecture, manage secrets (HashiCorp Vault), and automate compliance checks. CISSP or CEH certification preferred. Experience with SOC2 and ISO 27001 audits."
Cloud Engineer,Mid,Meta,Product,8+ years,New York,"AWS Specialist for a large-scale SaaS platform. Required: Deep AWS expertise (EC2, ECS/EKS, RDS, Aurora, DynamoDB, Lambda, S3, CloudFront, API Gateway), Terraform, and Python. Must design multi-region, fault-tolerant architectures, optimize cloud costs, and implement AWS security best practices. AWS Solutions Architect Professional certification required."
Embedded Engineer,Mid,Atlassian,Product,0-2 years,Hyderabad,"Embedded Systems Engineer. Required: C/C++, RTOS (FreeRTOS or Zephyr), and experience with microcontrollers (ARM Cortex-M, ESP32, STM32). Must design firmware for IoT devices, implement communication protocols (UART, SPI, I2C, MQTT), and optimize for low-power operation. Experience with hardware debugging (JTAG, oscilloscope) required."
Data Engineer,Mid,Airbnb,Product,8+ years,Seattle,"Senior Data Engineer to build real-time data pipelines. Required: Python, Kafka, Flink or Spark Streaming, and cloud data warehouses (Snowflake or BigQuery). Experience with data modeling, CDC (Change Data Capture), and building reusable pipeline frameworks. Must mentor junior engineers and define data engineering best practices."
Data Engineer,Mid,Databricks,Product,2-5 years,Hyderabad,"Data Engineer proficient in Python and PySpark. Build and maintain ETL pipelines ingesting terabytes of data daily. Required: Python, Apache Spark, Airflow, dbt, and experience with data lakes (S3 + Delta Lake or Iceberg). Must handle schema evolution, data quality checks, and work with both batch and streaming data (Kafka or Kinesis)."
Mobile Developer,Mid,Palantir,Product,0-2 years,New York,"Flutter Developer for cross-platform mobile app. Required: Flutter, Dart, and experience building production apps for both iOS and Android. Must work with REST APIs, state management (Riverpod or BLoC), and platform-specific integrations. Experience with Firebase services (Auth, Firestore, Analytics) and CI/CD with Codemagic or Bitrise."
Cloud Engineer,Mid,Nvidia,Product,0-2 years,Pune,"Azure Cloud Engineer for enterprise digital transformation. Required: Azure (AKS, Azure SQL, App Service, Azure Functions, Azure DevOps, Azure AD), Bicep or Terraform, and PowerShell. Experience with hybrid cloud connectivity (ExpressRoute, VPN Gateway) and Azure security (Defender for Cloud, Sentinel). Azure Solutions Architect Expert certification preferred."
DevOps Engineer,Mid,Netflix,Product,8+ years,Chennai,"Kubernetes Platform Engineer. Required: Kubernetes (CKA/CKAD certified preferred), Helm, ArgoCD, Crossplane, and Terraform. Experience building multi-tenant Kubernetes platforms, implementing RBAC, network policies, and resource quotas. Must design operator patterns, manage cluster upgrades, and support developer teams using the platform."
Backend Developer,Mid,Salesforce,Product,0-2 years,Remote,"Backend Developer in Go for a fintech startup. Required: Go, REST APIs, PostgreSQL, Kafka, and Docker. Must design payment processing microservices with strong error handling, retries, and idempotency guarantees. Experience with distributed tracing (Jaeger or Tempo) and metrics (Prometheus) is expected."
Blockchain Developer,Mid,Robinhood,Product,0-2 years,Mumbai,"Solidity Smart Contract Developer. Required: Solidity, Hardhat or Foundry, ethers.js or web3.js, and experience deploying on EVM-compatible chains. Must write gas-optimized, secure smart contracts, conduct security audits, and integrate with DeFi protocols. Experience with ERC standards (ERC-20, ERC-721, ERC-1155) and OpenZeppelin libraries."
Data Analyst,Mid,Persistent Systems,Service,5-8 years,Pune,"Product Analytics specialist. Required: SQL, Python, Amplitude or Mixpanel, and experience with product analytics frameworks (AARRR, HEART). Must design event tracking schemas, build retention and engagement analyses, and collaborate with product managers on metric definition. Experience with funnel optimization and cohort analysis."
Data Analyst,Mid,Mphasis,Service,0-2 years,Hyderabad,"Financial Data Analyst. Required: SQL, Python, Excel (advanced), and experience with financial reporting, P&L analysis, and variance reporting. Must build automated financial models, work with ERP data (SAP or Oracle Financials), and present insights to CFO and finance leadership. CFA or CPA background is a plus."
Software Engineer,Mid,Stripe,Product,8+ years,Pune,"Java Software Engineer for banking core systems. Required: Java, Spring Framework, Oracle DB, and REST APIs. Experience with transaction management, messaging (IBM MQ or ActiveMQ), and legacy system integration. Knowledge of SWIFT protocols or ISO 20022 is a strong plus. Must work in regulated financial environments."
